"(Tracking Code Reserved)","(Réservé Code Tracking)"
"10 chars max - Provided by Mondial Relay","10 caractères max - Paramètre fourni par Mondial Relay"
"8 chars max - Provided by Mondial Relay","8 caractères max - Paramètre fourni par Mondial Relay"
"A return has already been registered for shipment #%s","Un retour a déjà été programmé pour l'expédition n°%s"
"Active","Activé"
"Add order weight to shipping method title","Ajouter le poids du colis au libellé de la méthode"
"Allowed modes","Modes autorisés"
"Allowed return modes","Modes de retour autorisés"
"An error has occurred during label recovery (%s)","Une erreur est survenue durant la récupération des étiquettes (%s)"
"As displayed on the front-end","Tel qu'affiché sur le front-end"
"As set in Configuration > Sales > Shipping settings > Origin","Définie dans Configuration > Ventes > Réglages d'envoi > Origine"
"AS400 Unavailability","Indisponibilité AS400"
"Bad Base Company Type","Type d'enseigne incorrect en base"
"Banned Items","Articles interdits"
"Banned items for scheduled home delivery","Articles interdits à la livraison à domicile sur rendez-vous"
"Carrier Title","Intitulé générique du mode de livraison"
"Catalog Weight Unit","Unité de poids des articles du catalogue"
"CDR mode","Collecte à domicile 1 livreur (CDR)"
"CDS mode","Collecte à domicile 2 livreurs (CDS)"
"Change collection pickup","Changer de point relais de collecte"
"Check your Mondial Relay contract","Consultez votre contrat Mondial Relay"
"City","Ville"
"City List","Liste des communes"
"Click to select your pick-up location","Choisir votre point relais&nbsp;" 
"Closed","Fermé"
"Colisdrive mode","Mode Colidrive: colis jusqu'à 130 kgs (DRI)"
"Collection pick-up","Point-relais de collecte"
"Comma-separated ID values","ID produits séparés par des virgules"
"Company Reference","Référence de marque"
"Country","Pays"
"Create re-shipping label","Création de l'étiquette de réexpédition"
"Create return label","Création de l'étiquette retour"
"Creation of a re-shipping label (%s)","Création d'une étiquette de réexpédition (%s)"
"Creation of a return shipping label (%s)","Création d'une étiquette de retour (%s)"
"Debug error message","Message de débogage"
"Debug Mode","Mode débogage"
"Description","Description"
"Description for scheduled home delivery","Description de la livraison à domicile sur rendez-vous" 
"Disabled Company Account","Compte enseigne non activé"
"Displayed Error Message","Message d'erreur"
"Do you want to get a shipping label for this shipment? If you cancel, this order will be flagged as [Shipped] but no web service registration will be processed.","Souhaitez-vous obtenir une étiquette pour cette expédition ? Si vous annulez, la commande passera au statut [Expédié] mais aucun enregistrement par web service ne sera réalisé auprès de Mondial Relay."
"Do you want to set packages for this shipment? If you cancel, this shipment will be registered as single parcel.","Souhaitez-vous organiser le packing pour cette expédition ? Si vous annulez, cette expédition sera enregistrée comme mono-colis."
"Download re-shipping label","Télécharger l'étiquette de réexpédition"
"Download return shipping label","Télécharger l'étiquette de retour"
"Drive-Pickup Delivery","Livraison en Colis-Drive"
"Email return shipping label to customer","Envoyer le lien de téléchargement de l'étiquette au client"
"Email unsuccessfully sent for shipment #%s (%)","Echec de l'envoi de l'e-mail pour l'expédition n°%s (%s)"
"Enter an extra fee or percentage. Leave 0 to use basic table rate","Entrer un montant ou un pourcentage. Laisser à 0 pour utiliser la grille standard de tarification"
"Error: unable to connect to Mondial Relay service","Erreur: services Mondial Relay indisponibles"
"Error in table rates line %s: %s fields found!","Erreur dans la grille de tarification ligne %s: %s champs trouvés !"
"Error in table rates line %s: value %s is not valid","Erreur dans la grille de tarification ligne %s: valeur %s non valide"
"Exhausted Delivery Number Range","Plage de numéros d'expédition épuisée"
"Extra fee for scheduled home delivery","Frais supplémentaires pour la livraison à domicile sur rendez-vous"
"Friday","Vendredi"
"g","g"
"Gram","Gramme"
"%sh%s","%sh%s"
"HOME mode","Mode HOM: livraison sans rendez-vous colis jusqu'à 30 kgs (HOM)"
"HOME1 mode","Mode HOME1: livraison sur rendez-vous colis jusqu'à 70 kgs (LD1)"
"HOME2 mode","Mode HOME2: livraison sur rendez-vous colis jusqu'à 130 kgs (LD2)"
"If enabled, log file is located at /var/log/man4x_mondialrelay_debug.log","Si activé, les logs sont compilés dans le fichier /var/log/man4x_mondialrelay_debug.log"
"Impossible to get any available pick-up for collection: please contact us.","Impossible de déterminer une liste de points de collecte valides: veuillez nous contacter."
"info","i"
"Invalid %s \"%s\" in the Row #%s","Condition %s \"%s\" invalide à la ligne %s"
"Invalid Address","Adresse invalide"
"Invalid Appointment Top","Top rendez-vous invalide"
"Invalid Insurance","Assurance invalide ou incorrecte"
"Invalid City","Ville invalide"
"Invalid COD Amount","Montant CRT invalide"
"Invalid COD Currency","Devise CRT invalide"
"Invalid Collection Mode","Mode de collecte invalide"
"Invalid Collection or Delivery Mode","Mode de collecte ou de livraison invalide"
"Invalid collection phone contact for shipment #%s (%s)","Numéro de téléphone invalide pour l'expédition en retour n°%s (%s)"
"Invalid Collection Relay Country","Pays de point de relai de collecte invalide"
"Invalid Collection Relay Number","Numéro de point de relai de collecte invalide"
"Invalid Collection Type (1/D > Home -- 3/R > Relay)","Type de collecte invalide (1/D > Domicile -- 3/R > Relay)"
"Invalid Company Account","Numéro de compte enseigne invalide"
"Invalid Company Customer Number","Numéro de client enseigne invalide"
"Invalid Company File Number","Numéro de dossier enseigne invalide"
"Invalid Company Name","Enseigne invalide"
"Invalid Country \"%s\" in the Row #%s","Pays \"%s\" invalide à la ligne %s"
"Invalid Country Code","Code pays invalide"
"Invalid Delivery Instructions","Instructions de livraison invalides"
"Invalid Delivery Mode","Mode de livraison invalide"
"Invalid Delivery Relay Country","Pays de point de relai de livraison invalide"
"Invalid Delivery Relay Number","Numéro de point relai de livraison invalide"
"Invalid Delivery Type (1/D > Home -- 3/R > Relay)","Type de livraison invalide (1/D > Domicile -- 3/R > Relay)"
"Invalid Language","Langue invalide"
"Invalid Mondial Relay Parcel Number","Numéro de colis Mondial Relay invalide"
"Invalid Parcel Number","Nombre de colis invalide"
"Invalid Parcel Size","Taille du colis invalide"
"Invalid Parcel Size (Length + Height)","Taille du colis invalide (longueur + hauteur)"
"Invalid Parcel Value","Valeur colis invalide"
"Invalid Parcel Value Currency","Devise de la valeur colis invalide"
"Invalid Parcel Weight","Poids colis invalide"
"Invalid Post Code","Code postal invalide"
"Invalid Region/State \"%s\" in the Row #%s","Région/Département \"%s\" invalide à la ligne %s"
"Invalid Recipient Address Line 1","Ligne 1 d'adresse du destinataire invalide"
"Invalid Recipient Address Line 2","Ligne 2 d'adresse du destinataire invalide"
"Invalid Recipient Address Line 3","Ligne 3 d'adresse du destinataire invalide"
"Invalid Recipient Address Line 4","Ligne 4 d'adresse du destinataire invalide"
"Invalid Recipient City","Ville destinataire invalide"
"Invalid Recipient Country","Pays destinataire invalide"
"Invalid Recipient E-mail","Email destinataire invalide"
"Invalid Recipient Language","Langue destinataire invalide"
"Invalid Recipient Phone Number","Téléphone destinataire invalide"
"Invalid Recipient Post Code","Code postal destinataire invalide"
"Invalid Recovery Top","Top reprise invalide"
"Invalid Relay Number","Numéro de relai invalide"
"Invalid reshipping carrier: %s","Code transporteur de réexpédition invalide(%s)"
"Invalid return carrier: %s","Code transporteur reverse invalide (%s)"
"Invalid Security Key","Clé de sécurité invalide"
"Invalid Sender Address Line 1","Ligne 1 d'adresse de l'expéditeur invalide"
"Invalid Sender Address Line 2","Ligne 2 d'adresse de l'expéditeur invalide"
"Invalid Sender Address Line 3","Ligne 3 d'adresse de l'expéditeur invalide"
"Invalid Sender Address Line 4","Ligne 4 d'adresse de l'expéditeur invalide"
"Invalid Sender City","Ville expéditeur invalide"
"Invalid Sender Country","Pays expéditeur invalide"
"Invalid Sender E-mail","Email expéditeur invalide"
"Invalid Sender Language","Langue expéditeur invalide"
"Invalid Sender Phone Number","Téléphone expéditeur invalide"
"Invalid Sender Post Code","Code postal expéditeur invalide"
"Invalid Setup Time","Temps de montage invalide"
"Invalid shipment","Expédition invalide"
"Invalid Shipment Number","Numéro d'expédition invalide"
"Invalid Shipping Price \"%s\" in the Row #%s","Tarif de livraison \"%s\" invalide à la ligne %s"
"Invalid Table Rates File Format","Format de la grille tarifaire invalide"
"Invalid Tablerate Rate code type: %s","Erreur de grille tarifaire pour expédition de type: %s"
"Invalid Tablerate Rate code for type %s: %s","Erreur de grille tarifaire pour expéditionde type %s / %s"
"Invalid Text Field","Champ texte libre invalide"
"Invalid Top Notification","Top avisage invalide"
"Kilogram","Kilogramme"
"L mode","Mode L: colis jusqu'à 30 kgs (24R)"
"Label created at","Etiquette créée le"
"Label size","Taille des étiquettes"
"Labels Printing","Impression des étiquettes"
"Mass Returning","Retours par lot"
"Mass Shipping","Expéditions par lot"
"Mass Shipping (Flat File)","Expédition par lot (fichier plat)"
"Mass Shipping (Web Service)","Expédition par lot (Web Service)"
"Max. 32 chars","Max. 32 caractères"
"Minimum: 1 - Maximum: 10","Valeur entre 1 et 10"
"Missing Company Number","Numéro d'enseigne vide"
"Module information","Informations du module"
"Monday","Lundi"
"Mondial Relay","Mondial Relay"
"Mondial Relay: Generic Settings","Mondial Relay: Paramètres génériques"
"Mondial Relay: Pickup Delivery","Mondial Relay: Livraison en Points Relais"
"Mondial Relay: Home Delivery","Mondial Relay: Livraison à Domicile"
"Mondial Relay Re-shipping & Return Shipment","Réexpéditions et retours par Mondial Relay"
"Mondial Relay service temporary unavailable.","Accès aux services Mondial Relay temporairement indisponible."
"Mondial Relay shipment error for order #%s (%s)","Erreur d'expédition Mondial Relay pour la commande n°%s (%s)"
"Mondial Relay shipment for order #%s was successfully created","L'expédition Mondial Relay pour la commande n°%s a été effectuée avec succès"
"Mondial Relay shipping label successfully created for order #%s","L'étiquette Mondial Relay a été générée avec succès pour la commande n°%s"
"Multipack is unavailable for this method","L'envoi groupé n'est pas proposé pour cette méthode."
"Network error: unable to get shipping label.","Erreur de connexion: impossible de récupérer l'étiquette d'expédition."
"Network error: unable to save pickup selection.","Erreur de connexion: impossible de sauvegarder le choix de Point Relais."
"No matching results.","Aucun résultat pour cette recherche."
"No Available Action Without City / Post Code","Aucune action possible sans ville ou code postal"
"No Result After Sorting Plan","Aucun élément retourné par le plan de tri"
"Nonexistent Parcel","Colis inexistant"
"Notice: shipping fee may be different for a pick-up located in another country","Attention: les frais de port peuvent être différents pour une livraison dans un autre pays"
"Notify shipment to customers","Notifier l'expédition aux clients"
"Number of packages","Nombre de colis"
"Number of pickup spots displayed on request","Nombre de points relais affichés par requête"
"Opening Hours","Horaires d'ouverture"
"Order Total for Free Shipping","Frais de port offers à partir de"
"Ounce","Once"
"Parcel total weight (in catalog unit)","Poids total du retour (en unité du catalogue)"
"Pick-up locations search","Recherche de Points Relais"
"Pick-up List","Liste des Points Relais"
"Pick-up selection on map","Sélection sur carte"
"Picking location of returning parcel:","Adresse de collecte du colis en retour:"
"Please enter a postcode or a city to get a pick-up list","Veuillez saisir un code postal ou une ville pour pouvoir lancer la recherche de points relais."
"Please select a city...","Veuillez choisir une commune ci-dessous..."
"Please select a Mondial Relay reshipping method...","Veuillez choisir un mode de réexpédition Mondial Relay..."
"Please select a Mondial Relay return method...","Veuillez choisir un mode de retour Mondial Relay..."
"Please select a province...","Veuillez choisir une région..."
"Please select a shipping type...","Veuillez choisir un type d'expédition..."
"Please specify where you want to be delivered in order to search for relevant pick-up locations.","Veuillez indiquer le lieu où vous souhaitez recevoir votre colis de manière à vous proposer une liste de Points Relais."
"Post Code","Code postal"
"Pound","Livre"
"Print Label","Imprimer l'étiquette"
"Printing Labels","Impression des étiquettes Mondial Relay"
"Private key","Clé privée"
"Provided by Mondial Relay","Paramètre fourni par Mondial Relay"
"Rate Condition","Paramètre de tarification"
"Rate vs package total items/destination","Tarification par nombre d'articles/destination"
"Rate vs package value/destination","Tarification par valeur de la commande/destination"
"Rate vs weight/destination","Tarification par poids/destination"
"Rates Schedule","Grille de tarification"
"Re-shipping","Réexpédition"
"Re-shipping address:","Adresse de réexpédition"
"Re-shipping pick-up","Point relais de réexpédition"
"Re-shipping shipment data","Caractéristiques de la réexpédition"
"Re-shipping successfully created for shipment #%s","Réexpédition créée avec succès pour l'expédition n°%s"
"Recipient","Destinataire"
"Recipient email contact","Email de contact du destinataire"
"Recipient phone contact","N° téléphone destinataire"
"REL mode","Collecte en point relais (REL)"
"Relay Multi-Piece Delivery is not Allowed","Livraison multi-colis en relai interdite"
"Return","Retour"
"Return city","Ville de l'adresse de retour"
"Return contact email","Email de contact pour les retours"
"Return contact phone","Téléphone de contact pour les retours"
"Return country","Pays de l'adresse de retour"
"Return methods","Méthodes de retour"
"Return postcode","Code postal de l'adresse de retour"
"Return region/state","Région/Province de l'adresse de retour"
"Return recipient","Destinataire des retours"
"Return recipient address","Addresse de destination des retours"
"Return sender","Expéditeur du retour"
"Return shipment data","Caractéristiques du retour"
"Return successfully created for shipment #%s","Retour créé avec succès pour l'expédition n°%s"
"Returns are shipped to origin?","Les retours se font à l'adresse d'origine ?"
"Return Shipment Email Template","Modèle d'email d'expédition retour"
"Saturday","Samedi"
"Search for pick-ups","Lancer la recherche"
"Select another pick-up","Changer de point relais"
"Select this pick-up","Choisir ce point relais"
"Selected pick-up:","Vous avez choisi le point relais:"
"Sender email contact","Email de contact"
"Sender Name","Nom de l'expéditeur"
"Sender phone contact","N° téléphone de contact"
"Service Generic Error","Erreur générique du service"
"Ship to Specific Countries","Pays de destination autorisés"
"Shipping methods","Méthodes d'expédition"
"Shipping rates for pickup deliveries","<b style='color:red;'>ATTENTION: purger le cache après toute modification de la grille</b><br/>&nbsp;<br/><u>Exemples de configuration (pour condition par poids, unité du catalogue = kg)</u><br/>&bull; 5.99 <i>(tarif unique 5.99€)</i><br/>&bull; FR;4.99 <i>(partout en France 4.99€)</i><br/>&bull; FR;*;75;2.9<0.2 <i>(à Paris jusqu'à 200g 2.90€)</i><br/>&bull; FR;3.99<5,6.99 <i>(en France jusqu'à 5kg 3.99€ puis 6.99€ au delà)"
"Shipping way","Sens"
"Show Method If Not Applicable","Afficher si non disponible"
"Sort Order","Ordre de tri"
"Sunday","Dimanche"
"There is no available shipping label","Aucune étiquette disponible pour cette expédition"
"This method is not configured for return shipping","Cette méthode n'est pas configurée pour les expéditions retour"
"This method is unavailable for parcels over ### g","Cette méthode ne prend en charge que les colis de moins de ### g"
"This method is unavailable for this country","Cette méthode n'est pas proposée pour ce pays"
"This parcel is too heavy for this shipping method","Ce colis est trop lourd pour cette méthode d'expédition"
"This shipping method is not available for selected delivery country.","Cette méthode d'expédition n'est pas proposée pour ce pays."
"This shipping method is not available for this order.","Cette méthode d'expédition n'est pas disponible pour cette commande."
"Title","Intitulé de la méthode de livraison"
"Title for scheduled home delivery","Intitulé de la livraison à domicile sur rendez-vous"
"Thursday","Mardi"
"Too many orders: 100 max. by export file.","Erreur: 100 commandes maximum par fichier export."
"Tracking Code: Anomaly","Code Tracking: Anomalie"
"Tracking Code: Delivered Parcel","Code Tracking: Colis livré"
"Tracking Code: Mondial Relay Processing Parcel","Code Tracking: Colis en cours de traitement par Mondial Relay"
"Tracking Code: Registered Parcel","Code Tracking: Colis enregistré"
"Tracking URL","URL de Tracking"
"Tuesday","Mardi"
"Unable to create re-shipping for shipment #%s (%s)","Impossible de créer une réexpédition pour l'expédition n°%s (%s)"
"Unable to create return for shipment #%s (%s)","Impossible de créer le retour de l'expédition n°%s (%s)"
"Unable to get a valid return method for shipment #%s","Impossible de trouver une méthode valide de retour pour l'expédition n°%s"
"Unable to retrieve quote address for shipment #%s","Impossible de récupérer l'adresse de référence pour l'expédition n°%s" 
"Unavailable Service","Service indisponible"
"Unknown/Non-unique City Name","Nom de ville inconnue ou non-unique"
"Unknown Error","Erreur inconnue"
"Version: %s","Version: %s"
"Web Service URL","URL du Web Service"
"Wednesday","Mercredi"
"Weight","Poids"
"Weight (calculated)","Poids calculé (unité du catalogue)"
"Weight (real)","Poids réel (unité du catalogue)"
"XL mode","Mode XL: colis jusqu'à 50 kg (24L)"
"XXL mode","Mode XXL: colis jusqu'à 70 kgs (24X)"
"You must select a pick-up if you choose this shipping method","Vous devez sélectionner un Point Relais si vous choisissez cette méthode d'expédition"
"Zip/Postal Code","Code postal"